iter	Passed	Remaining
0	5	5688
1	11	5741
2	16	5498
3	20	5211
4	26	5311
5	31	5171
6	36	5115
7	43	5341
8	47	5281
9	52	5219
10	58	5232
11	62	5156
12	66	5058
13	70	4967
14	75	4947
15	79	4883
16	83	4817
17	86	4741
18	91	4740
19	96	4705
20	99	4642
21	103	4600
22	108	4595
23	112	4578
24	117	4577
25	122	4577
26	126	4562
27	130	4544
28	134	4505
29	139	4495
30	143	4491
31	148	4477
32	151	4450
33	156	4455
34	161	4446
35	165	4428
36	169	4411
37	174	4408
38	178	4388
39	181	4366
40	186	4362
41	191	4359
42	195	4349
43	199	4330
44	204	4341
45	208	4324
46	212	4309
47	216	4289
48	220	4284
49	224	4269
50	228	4252
51	232	4233
52	236	4232
53	240	4209
54	244	4199
55	248	4181
56	252	4176
57	256	4164
58	260	4154
59	264	4138
60	268	4134
61	273	4130
62	276	4117
63	280	4105
64	284	4093
65	288	4088
66	293	4086
67	297	4078
68	301	4071
69	305	4062
70	309	4052
71	313	4045
72	318	4044
73	322	4035
74	326	4025
75	330	4012
76	334	4005
77	337	3991
78	341	3983
79	345	3972
80	348	3959
81	353	3952
82	357	3947
83	361	3940
84	365	3933
85	369	3924
86	373	3916
87	377	3908
88	381	3904
89	385	3894
90	388	3883
91	393	3878
92	396	3870
93	400	3864
94	404	3856
95	408	3847
96	412	3841
97	416	3835
98	420	3825
99	424	3822
100	428	3816
101	432	3806
102	435	3796
103	440	3792
104	444	3785
105	447	3776
106	451	3770
107	455	3765
108	460	3761
109	463	3753
110	467	3745
111	471	3740
112	475	3730
113	478	3721
114	482	3716
115	486	3710
116	491	3707
117	495	3703
118	499	3695
119	502	3687
120	506	3680
121	510	3672
122	513	3663
123	517	3656
124	521	3649
125	524	3641
126	528	3634
127	532	3626
128	535	3617
129	539	3610
130	543	3602
131	546	3596
132	550	3590
133	554	3583
134	558	3576
135	561	3569
136	565	3562
137	569	3558
138	573	3553
139	577	3546
140	581	3540
141	585	3534
142	588	3529
143	592	3521
144	596	3514
145	599	3507
146	603	3503
147	607	3497
148	611	3491
149	615	3485
150	618	3479
151	622	3474
152	626	3470
153	630	3464
154	634	3461
155	638	3456
156	643	3453
157	647	3449
158	650	3443
159	654	3438
160	658	3431
161	662	3424
162	665	3417
163	669	3412
164	673	3406
165	676	3400
166	680	3394
167	684	3387
168	687	3382
169	691	3376
170	695	3371
171	699	3368
172	703	3363
173	707	3359
174	711	3353
175	714	3347
176	719	3343
177	723	3339
178	726	3333
179	730	3328
180	734	3322
181	738	3318
182	741	3312
183	745	3307
184	749	3302
185	753	3299
186	757	3295
187	761	3289
188	765	3285
189	769	3281
190	773	3277
191	777	3271
192	781	3266
193	785	3263
194	789	3257
195	793	3253
196	797	3250
197	801	3245
198	805	3240
199	808	3235
200	812	3229
201	816	3223
202	819	3218
203	823	3212
204	826	3206
205	830	3201
206	834	3196
207	838	3190
208	841	3186
209	845	3180
210	849	3177
211	853	3171
212	856	3166
213	860	3161
214	864	3155
215	868	3150
216	871	3145
217	875	3141
218	879	3135
219	883	3130
220	886	3125
221	890	3119
222	894	3116
223	898	3111
224	901	3106
225	905	3101
226	909	3096
227	912	3090
228	917	3087
229	921	3083
230	925	3079
231	928	3075
232	932	3070
233	937	3067
234	940	3062
235	944	3057
236	948	3053
237	952	3049
238	955	3043
239	959	3038
240	963	3033
241	966	3028
242	971	3025
243	974	3020
244	978	3016
245	983	3014
246	988	3012
247	992	3010
248	1024	3089
249	1035	3105
250	1039	3102
251	1044	3100
252	1048	3096
253	1052	3090
254	1056	3085
255	1060	3082
256	1064	3078
257	1068	3073
258	1072	3068
259	1076	3064
260	1081	3061
261	1085	3058
262	1089	3053
263	1093	3049
264	1097	3045
265	1101	3039
266	1105	3035
267	1109	3031
268	1114	3027
269	1117	3022
270	1122	3018
271	1126	3014
272	1130	3010
273	1134	3004
274	1138	3000
275	1143	2998
276	1147	2995
277	1151	2989
278	1155	2985
279	1158	2979
280	1162	2975
281	1166	2970
282	1170	2965
283	1174	2961
284	1178	2957
285	1182	2953
286	1187	2949
287	1191	2945
288	1195	2939
289	1198	2934
290	1203	2931
291	1207	2928
292	1211	2924
293	1215	2919
294	1219	2915
295	1224	2911
296	1228	2907
297	1232	2903
298	1236	2898
299	1240	2895
300	1244	2890
301	1248	2886
302	1252	2881
303	1256	2876
304	1260	2872
305	1264	2868
306	1268	2863
307	1272	2859
308	1276	2854
309	1280	2849
310	1284	2845
311	1288	2840
312	1292	2836
313	1296	2832
314	1299	2826
315	1304	2822
316	1308	2818
317	1312	2814
318	1315	2809
319	1319	2804
320	1324	2800
321	1328	2796
322	1331	2791
323	1335	2786
324	1339	2781
325	1343	2777
326	1347	2772
327	1351	2768
328	1354	2763
329	1358	2759
330	1362	2753
331	1366	2749
332	1370	2745
333	1374	2740
334	1378	2736
335	1382	2732
336	1386	2727
337	1390	2722
338	1394	2719
339	1398	2715
340	1402	2710
341	1407	2707
342	1411	2702
343	1415	2698
344	1418	2693
345	1423	2689
346	1426	2685
347	1430	2680
348	1434	2676
349	1438	2671
350	1442	2667
351	1446	2662
352	1450	2658
353	1453	2653
354	1458	2649
355	1462	2644
356	1465	2640
357	1469	2635
358	1473	2630
359	1477	2626
360	1481	2621
361	1485	2617
362	1489	2613
363	1493	2609
364	1497	2604
365	1501	2600
366	1504	2595
367	1508	2591
368	1513	2587
369	1517	2583
370	1520	2578
371	1524	2574
372	1528	2569
373	1532	2565
374	1536	2560
375	1540	2556
376	1544	2552
377	1548	2547
378	1552	2543
379	1556	2539
380	1561	2536
381	1564	2531
382	1569	2528
383	1573	2524
384	1577	2520
385	1582	2516
386	1586	2512
387	1589	2507
388	1593	2503
389	1597	2499
390	1601	2494
391	1605	2490
392	1609	2486
393	1613	2482
394	1617	2477
395	1621	2473
396	1626	2469
397	1629	2465
398	1633	2460
399	1637	2456
400	1641	2451
401	1644	2446
402	1648	2442
403	1652	2438
404	1656	2433
405	1660	2429
406	1664	2425
407	1667	2420
408	1672	2416
409	1675	2411
410	1679	2407
411	1683	2402
412	1687	2398
413	1691	2394
414	1695	2390
415	1699	2385
416	1703	2381
417	1707	2377
418	1711	2372
419	1714	2368
420	1718	2364
421	1722	2359
422	1726	2355
423	1730	2351
424	1734	2346
425	1738	2342
426	1742	2337
427	1745	2333
428	1749	2328
429	1753	2324
430	1757	2319
431	1760	2315
432	1764	2311
433	1768	2306
434	1772	2302
435	1776	2298
436	1780	2293
437	1784	2289
438	1788	2285
439	1792	2281
440	1795	2276
441	1800	2272
442	1804	2268
443	1807	2263
444	1811	2259
445	1815	2254
446	1818	2250
447	1822	2245
448	1826	2241
449	1830	2237
450	1834	2232
451	1838	2228
452	1842	2224
453	1846	2220
454	1850	2216
455	1854	2212
456	1858	2208
457	1863	2205
458	1867	2200
459	1871	2196
460	1875	2192
461	1879	2189
462	1884	2185
463	1888	2181
464	1892	2177
465	1896	2172
466	1900	2169
467	1904	2164
468	1908	2160
469	1913	2157
470	1917	2153
471	1921	2149
472	1925	2145
473	1929	2140
474	1932	2136
475	1936	2132
476	1940	2127
477	1944	2123
478	1948	2119
479	1952	2114
480	1955	2110
481	1960	2106
482	1963	2102
483	1968	2098
484	1972	2094
485	1976	2090
486	1980	2086
487	1984	2082
488	1988	2078
489	1992	2074
490	1996	2070
491	2001	2066
492	2004	2061
493	2008	2057
494	2012	2053
495	2017	2049
496	2021	2046
497	2025	2042
498	2029	2038
499	2033	2033
500	2037	2029
501	2041	2024
502	2044	2020
503	2048	2015
504	2052	2011
505	2056	2007
506	2059	2003
507	2063	1998
508	2067	1994
509	2071	1989
510	2075	1985
